tay,viet,pos,theme
Chắng,giữ,V,
Chắng sle,giữ lại,V,
Chắng,cầm,V,
Chắng lượt,cầm máu,V,
Chắng,mới,R,
Chắng,vừa,R,
Chắng chắng,ào ào,A,
Chắng chắng,ồn ào,A,
Chắp,cái hộp,N,
Chắp,dính,V,
Chắp,đậu,V,
Chắp,khoanh tay,V,
Chắp che,vỏ bào,N,
Chắp xặp,sửa soạn,V,
Chắp xặp,chuẩn bị,V,
Chặp,"chồng, xấp",CH,
Chặp sléc,chồng sách,N,
Chặp chỉa,xấp giấy,N,
chắt,đánh chắt,V,
Chắt,bịt,M,
Chắt,rào,N,
Chắt tàng,rào đường đi,N,
Chăt,tắc,M,
Chăt châu,tắc hơi thở,V,
Chẩn tịnh,chắc chắn,A,
Chẩn xình,quả thật,R,
Châng,cân nhau,V,
Châng,xứng đôi,N,
Chập,gặp,V,
Chập đây,gặp may,V,
Chập rại,gặp rủi,V,
Chẩu,chủ,N,
Chẩu rườn,chủ nhà,N,
Chẩu,mình,P,
Châu,dìu dắt,V,
Chậu,cái dậu,T,
Châu,"hơi, hơi thở",R,
Au Châu,thở,V,
Bắt Châu,tắc thở,V,
Châu cò,tấm lòng,N,
Chầu,lễ,N,
Chậu,phục dịch,V,
Lục Chậu,người phục dịch,N,
Chậu,đưa,V,
Chầy,thôi,T,
Chầy lá,thôi mà,T,
Chầy lọ,thôi à,T,
che,chê,M,
che căn,chê nhau,V,
Chè chè,tầm tã,N,
chẻ,cà,M,
che,ngâm,V,
che phon,tôi vôi,P,
ché,pí,M,
chen,rán,M,
Pẻng chen,bánh rán,N,
chen pja,rán cá,N,
chèn,tiền,N,
chèn,đồng cân,N,
chèn,rau má,N,
Chèn mồm,tiền tử tuất,N,
chen,rẻ,A,
Cúa chen,đồ rẻ tiền,N,
chen,coi thường,V,
Chen slướng,phận hèn,N,
chẻn,cái chén,N,
cheng,"tranh, tranh giành",CH,
Tò cheng,tranh nhau,V,
Cheng chám,tranh thủ,V,
Cheng cháp,xâm chiếm,M,
Cheng quây,sai lệch,M,
chéng,tranh ảnh,M,
Bâu chéng,bức họa,N,
cheo,"pha, hòa",CH,
chèo,dong dỏng,N,
chéo chéo,leo lét,V,
Chế,thế,P,
Chếp,đau,V,
Hua Chếp,đau đầu,M,
Phuối Chếp,nói cay độc,A,
Chếp khắt,đau chuyển dạ,V,
Chếp đát,đau xót,A,
Chếp tót,đau thương,A,
Chết,bảy,M,
Bươn Chết,tháng bảy,N,time
Chết slíp,bảy mươi,M,
Chệt,khoanh,M,
Chệt,cắt,V,
Chệt,càng,R,
Chị chai,thong thả,V,
Chì chỏm,bì bõm,M,
chỉ,chỉ,R,
chỉ,gí,M,
chỉ,ngón trỏ,N,
Nịu chỉ,ngón tay trỏ,N,
chí,cái vòi,N,
chí ẩm,vòi ấm nước,N,
chí,thịt,N,
chí,đuổi,V,
chí,theo,V,
chí,nướng,V,
chí chạc,thịt thà,N,
chí xọt,kim hỏa,N,
chỉa khao,giấy trắng,N,
chỉa,công văn,N,
Slống chỉa,đưa công văn,V,
chỉa chèn,vàng mã,N,
chỉa mả,giấy má,N,
chỉa sla,giấy bản,N,
chích,nộc chích,N,
Chích khắc,tức khắc,M,
chích lì,bức vách,N,
chích slì,tức thì,C,
Chiếc,miếng,M,
Chiếc,chẻ,M,
Chiêm,"ngắm, chọn",V,
Chiếm,ngắm nhìn,V,
Chiên,chăn chiên,V,
Chiên,gạch không nung,V,
Chiêng,giêng,M,time
Chin Chiêng,ăn tết,V,time
Chiềng,thưa,V,
Chiềng,trình bày,M,
Chiềng,khoe,V,
Chiềng mừa,kính thưa,V,
Chiềng nả,trình diện,V,
Chiết,thèm,V,
Chiết hí,thời tiết,M,
Chiết hí,khí hậu,M,
Chiệt,"tiệt, tuyệt",CH,
Chiều,chao lượn,V,
Chiểu,xỏ lá,V,
Chìm,nếm,M,
Chìm,thử,V,
chỉm,rỉa,M,
chỉm,nhổ,V,
chỉm,chỉ,R,
chỉm nả,chỉ mặt,N,
chỉm,xỉa xói,N,
chin,ăn,V,
chin khẩu,ăn cơm,V,
chin,uống,V,
chin nặm,uống nước,V,
chin,hút,V,
Chin chèn,ăn hối lộ,V,
Chin dú,ăn ở,E,
Chin lẩu,uống rượu,V,
Chin lẩu,ăn cưới,V,
Chin lèng,bữa ăn phụ,V,
chin mang,ăn thề,V,
Chin nung,ăn mặc,V,
Chin phuối,ăn nói,V,
Chin thua,ăn thua,V,
Chin thua,hơn nhau,N,
Chin xo,ăn mày,M,
Chìn,chì,N,
chịn,nạc,M,
Nựa chịn,thịt nạc,N,
Chinh,đặc,A,
mạy Chinh,gỗ đặc,N,
Chình,tường,N,
Chình hin,tường bằng đá,N,
Tăm Chình,nện tường đất,N,
chỉnh,giếng,N,place
chỉnh nặm,giếng nước,N,place
chỉnh,hố,N,place
chỉnh phon,hố tôi vôi,P,
chính,chính,T,
chính,ngay,T,
chính chang,chính giữa,T,place
chính xằn,chính xác,A,
chính xằn,tinh thần,N,
chíp,gấp,A,
chíp,xếp,V,
chíp,chép,M,
chíp pác,chép miệng,V,
chít,đinh tai,N,
chò,dỗ,M,
Chỏ,tổ tông,N,
Pú Chỏ,ông tổ,N,
Mả Chỏ,mả tổ,P,
Chỏ,sư,M,
Chỏ te,kệ sư nó,P,
Chỏ,cái ngõng,T,
Chỏ xay,ngõng cối xay,N,
Chỏ,cái trục,T,
Chỏ chông,tổ tông,N,
chó,mòn,M,
Xiêm chó,thuổng mòn,V,
chó chó,tong tong,N,
Chó ché,bị bô,V,
choa,xõa,M,
Phjôm choa,tóc xõa,N,
Chọa,"bãi, đống",N,
Choác,mới đầu,N,time
Choác,bất thình lình,N,
Choảl,vát,M,
choan,lãi,N,
choan,dôi dư,N,
Choán,chui rúc,V,
choang,chồm,M,
Choáng,"loãng, nhạt",M,
Chảo Choáng,cháo loãng,N,
Choát,trào,M,
Choóc,cái chén,N,
Choóc lẩu,chén rượu,N,
Choọc,"thứ, hạng",N,
Choọc mầu,hạng mày,P,
Choọc,xối,M,
choi,cuối cùng,A,
choi,kết thúc,V,time
Vằn choi,ngày kết thúc,N,time
choi,"giúp, giúp đỡ",V,
choi,sửa chữa,V,
chỏi,chiếu,N,
chỏi,chói,M,
chóm,ru ngủ,V,
chóm lục,ru con ngủ,V,
chóm,an ủi,V,
Chon,cái rui,T,
chòn,"chui, luồn",V,
Chon,lồi,M,
Chon,"buồn, mót",M,
Chon khỉ,buồn ia,M,
chỏn,con sóc,N,
Choong,cái trống nhỏ,A,
Cọn Choong,đánh trống nhỏ,V,
Choong nào,trống chiêng,M,
Choòng,cái bàn,N,
Choòng chỉa,bàn giấy,N,
Choòng tài,cái bàn lớn,A,
Choòng tắng,bàn ghế,M,
Choỏng,giã,M,
Choỏng,thụi,M,
Choóng sléc,hòm sách,N,
Choóng slửa,hòm áo,N,
Choọng,thòng lọng,N,
Chóp,nấm,M,
Chóp hom,nấm hương,N,
Chóp núm,mộc nhĩ,N,
Chóp,câu,N,
Chóp cốp,câu ếch,N,
chọt,tuột,M,
chọt mừ,tuột tay,V,
chọt,xổng,M,
chọt,hụt,M,
Pắt chọt,bắt hụt,V,
Chồ chồ,tồ tồ,N,
Chốc,chồi lên,V,
Chốc chác,bỗ bã,N,
Chốc chác,thiếu lễ độ,N,
Chộc,cối giã,N,
Chộc hin,cối đá,N,
Chộc,đâm,V,
Chộc,chọc,M,
Chổi,từ chối,V,
Chổi,đáp lại,V,
Chồm,xem,V,
Chồm then,xem hát then,V,
Chồm,tham quan,V,time
Chồm,mừng,V,
Chồm khươi,mừng rể,V,
Chồm,ca ngợi,M,
Chồm fằng,phấn khởi,M,
Chồm fuông,du lịch,V,
Chồm khua,vui cười,V,
Chôm,ném,V,
Chôm,dồn,V,
Chôm,úp,V,
Chổm,vồ,M,
Chổm cốp,vồ ếch,N,
Chổm,hiếp dâm,M,
Chổn,"chốn, nơi",N,place
Chông,bờm,M,
Chông mạ,bờm ngựa,N,
Chông,đỉnh,N,
Chông pù,đỉnh núi,N,place
Chông bá,bả vai,P,
Chông mạ,nóc nhà,N,place
Chông,đỉnh đèo,N,place
Chổng,chịu,V,
Chổng,chống,V,
Chổng chảng,chịu đựng,V,
Chột,trật,M,
Đúc Chột,trật khớp,N,
Chởm,kháy,M,
Phuối Chởm,nói kháy,V,
Chởm,bóng gió,N,
chu,"trượt, xô xuống",V,
Chủ,người chú,N,
Chủ,cây sấu,N,
Mác Chủ,quả sấu,N,
Chủ,"nhúng, dúi",CH,
Chú,ống,N,
Chú fầy,ống thổi lửa,N,
Chú,tù,M,
Chú,"cùn, không nhọn",CH,
Chụ,tình nhân,M,
Pây Chụ,đi cặp bồ,V,
chùa,rủ,V,
chùa,mời,V,
Chua,cái chùa,N,place
Pụt Chua,phật chùa,V,place
Chua,"tầm, đoạn",N,
Chua slảo,tầm con sào,N,
Chua tàng,đoạn đường,N,place
Chua,đời,N,
Chua cần,đời người,N,
chủa,chủ,N,
chủa rườn,chủ nhà,N,
Chuầy,cái dùi,T,
Chuầy,dùi,M,
chúc,đủ,A,
Chin chúc,ăn đầy đủ,V,
Chúc chí,cù,M,
Chục,chục,M,
chùm,thấm,V,
chùm,ứa,M,
chúm,chùm,M,
chúm,túm,M,
Chúng ý,vừa lòng,N,
Chúng sloóc,đúng lối,N,
Chủn,"cùng, tận cùng",CH,
Chủn tàng,cùng đường,N,place
Chủn,chấp nhận,V,
Chuôm,trùm,N,
Chuôm khân,trùm khăn,N,
Chủn tịnh,cho phép,V,
Chủn tịnh,chấp nhận,V,
Chuốn,chui,V,
chung,dắt,V,
chung mừ,dắt tay,V,
Chuốn choán,chui rúc,V,
chúng,"đúng, trúng",CH,
Chuồng,cái cào cỏ,V,
Chuồng,giẫy,M,
Chúp,cái nón,N,
Chúng chúng,ngầu ngầu,N,
Chúp,hôn,V,
Chúp,mút,M,
Chúp hoi,mút ốc,N,
Chúp cọ,nón quai thao,N,
chụp,chụp bóng,V,
chụp đén,chụp đèn,V,
Chút,đốt,V,
Chút rây,đốt rẫy,V,
Chút giang,đốt hương,V,
Chút,nhạt,M,
Chựa chòi,tổ tiên,N,
Chút choáng,nhạt phèo,N,
Chựa rườn,con thạch sùng,N,
Chút đén,châm cứu,V,
Chực,"giữ, coi",V,
Chực rườn,coi nhà,V,
Chực,đợi,V,
Chực ngài,đợi bữa trưa,N,time
Chư,chữ,N,
Chư slư,con chữ,N,
Chư,từ,E,
Chước rừ,tính sao,P,
Chưa,"đúng, phải",CH,
Chược,dây thừng,N,
Chứ,nhớ,V,
Chươc,tan chảy,V,
Chườn,"nghiêng, ngả",CH,
Chựa,"cụ, kỵ",CH,
Pú Chựa,cụ ông,N,
Chựa,cái,T,
Chựa hém,cái mẻ,N,
Chương,tùy tiện,N,
Chựa,"giữa, lúc",N,time
Chường,giường,N,
Co,đụng,V,
Chường slì,thường xuyên,A,
Chường tỏ,sòng bạc,N,
cò,cổ,N,
cò rì,cổ dài,N,
cò hán,cổ ngỗng,N,
cò,lòng,N,
cò chứ,lòng nhớ,V,
Chương,trượng,M,
Cò ai,cò niêng,N,
Chướng đông,giữ rừng,V,place
Chương chắp,vun vén,M,
Cò cặt,gắt gỏng,N,
Cò cặt,ghen tức,N,
Cò cặt,nghẹn ngào,V,
Chướng chực,bảo vệ,V,
Cò chào,gáy,M,
Chướng đang,giữ mình,P,
Chướng đang,trang điểm,M,
Cò đây,tốt bụng,A,
Chượng,nuôi,V,
Chượng hán,nuôi ngỗng,V,
Cò hỏi,mong mỏi,V,
Cò hỏi,lo lắng,V,
Chượng chao,chăn nuôi,V,
Cò hống,khí quản,M,
Co,cây,N,
Co bắp,cây ngô,N,
Co,khóm,M,
Co khẩu,khóm lúa,V,
Cò kè,khó tính,V,
Cò khấu,khát,M,
Cò khấu,mong đợi,M,
Cỏ,vịn,M,
Cỏ mừ,vịn tay,V,
Cỏ,giữ,V,
Cò kheng,"bướng, cứng cổ",A,
Có,anh,Nc,
Cò khên,thèm muốn,V,
Có,cây dẻ,N,
Cò loại,rộng rãi,A,
Có,"thuê, mướn",V,
Chin Có,làm thuê,V,
Có,nhóm,N,
Có phầy,nhóm lửa,N,
Cò luồng,đầu ghềnh,N,
Cò niêng,cổ bìu,N,
Có,thiết,M,
Cò ón,"ngoan, dễ bảo",A,
Cò ón,vừa lòng,N,
Cò pèng,uất ức,M,
Cò pèng,ganh tỵ,N,
Có cốc,khởi đầu,M,
cọ,cây cọ,N,
Bâu cọ,lá cọ,N,
Cọ,khu,N,place
Coóc ú,tù và,C,
Coóc,sừng,M,
Coóc vài,sừng trâu,V,
Coọc,chuồng,N,
Coọc mu,chuồng lợn,N,
Coọc bẻ,chuồng dê,N,
Coóc,hạt còn vỏ,N,
Khẩu Coóc,thóc,N,
Thúa Coóc,đỗ chưa xay,V,
Coi,cây hoa hồng,N,
Coóc,góc,N,
Coóc ruộng,góc ruộng,N,
Coóc,khóe,M,
Coóc tha,khóe mắt,V,
Coóc,mép,N,
Coóc pác,mép,N,
Coóc,gò má,M,
Nả Coóc,gò má cao,N,
Coi,quả kim anh,N,
Coóc,khua,M,
Coóc moong,khua mõ,N,
Coóc,cốc,M,
còi,triền núi,N,place
Coóc bẻ,cây muồng muồng,M,
Coóc kẻm,gò má,M,
Coi,nhẹ,A,
Coi,khẽ,M,
Phuối Coi,nói khẽ,V,
Coóc nạc,dải Ngân Hà,Np,
Coóc ngáng,guồng quay sợi,N,
Coi,sẽ,R,
Coi,hãy,R,
Coi dằng,nhẹ nhàng,A,
com,khum tròn,N,
com mừ,khum tay,V,
com,vốc,M,
com,quặp,M,
Com ngoặp,tròn xoe,M,
Cón lăng,trước sau,N,
cỏm,ngắn,A,
Slửa cỏm,áo ngắn,N,
cỏm,cộc,M,
Slin cỏm,váy cộc,N,
Cọn,cái guồng,T,
Cọn lốc,guồng nước,N,place
Cọn lót,guồng quay sợi,N,
cọm,trĩu,M,
cọm,cong xuống,V,
Cọn,đập,V,
Cọn,đánh,V,
Cọn tổng,đánh trống,V,
Cọn,rèn,M,
Cọn lếch,rèn sắt,V,
Còn,quả còn,N,
Tọt Còn,tung còn,V,
Còn,một bên gánh,N,
Còn khẩu,nửa gánh thóc,N,
Còn,gồng,M,
Còn,tha,V,
coong,cái vò to,A,
Còn,lung lay,M,
Khẻo Còn,răng lung lay,N,
Coong,"đống, bãi",N,
Coong fầy,đống lửa,N,
Còn cạng,mất thăng bằng,V,
Coong fòn,đống lửa,N,
cón,trước,E,
Chin cón,ăn trước,V,
cón,đã,R,
Coòng,"đùi gà, vịt",N,
Coòng,kêu,V,
Coòng,rên,M,
coòng cọ,khom khom lưng,N,
cop,khắp,A,
cop,xuể,M,
cop,lượt,N,
Coong sân,sân,N,
Coong ảng,sân nhà,N,place
Cot,quả mác cọt,N,
Coỏng,tiếng vọng,V,
Coỏng,ngân vang,N,
Cot,"cụt, đứt",CH,
Khen Cot,cụt tay,N,
Cot,hết,V,
Chin Cot,ăn hết,T,
Cot,dứt khoát,M,
Phuối Cot,nói dứt khoát,V,
Coỏng,vỗ,V,
cót,ôm,V,
Coỏng cót,chuột rút,V,
Cổ,cố,V,
Cổ,cố gắng,V,
Cộ,bộ,N,
Coóng cảo,khoeo chân,N,
Coóng ngừ,lẹo,M,
Cốc,gốc,N,
Cốc cươm,gốc trám,N,
Cốc,đầu,N,
Po Cốc,người đứng đầu,N,
Cốc bó,đầu nguồn,N,
Cốc,cả,P,
Lục Cốc,con cả,T,
cóp,vốc tay,V,
cóp,bốc,V,
Cốc co,gốc gác,V,
Cốc da,gốc thuốc,N,
Cốc da,thầy thuốc,N,
Cốc sloóc,khuỷu tay,V,
Cộc,cục,Nc,
Cộc hin,cục đá,N,
Cổm hua,cúi đầu,V,
Cổm hua,yên phận,M,
Côm,"đốt, thiêu",CH,
Côn,ngáy,M,
Nòn Côn,ngủ ngáy,V,
Cồm,sắc,M,
Pjạ Cồm,dao sắc,N,
Tha Cồm,mắt sắc,N,
Cồn,"đảo, khuấy",CH,
Thây Cồn,cày đảo,V,
Cồn,trộn,V,
Cồm bao,dao bằng nứa,N,
Cồm bao,cạnh sắc,N,
Côn,bật gốc,V,
Côn,sụp đổ,V,
Rườn Côn,nhà sụp đổ,V,place
Cổm,cúi,M,
Cổm,mải mê,V,
Cổn,đít,M,
Cổn vài,đít trâu,V,
Cổn,đáy,N,place
Cổn choóc,đáy cốc,N,
Cổn,trôn,M,
Cổm co,khom lưng,N,
Cốn,khúc to,N,
Cộn,"bới, lục lọi",CH,
Khen Cộn,bị sái tay,V,
Công,công việc,N,
Hết Công,làm việc,V,
Công,công lao,V,
Công,bật,V,
Công phải,bật bông,V,
Cột,đào,V,
Công,vỗ béo,V,
Cột,cong,A,
Công khỏ,công lao,V,
Công rèng,công sức,N,
Cột kẹo,cong queo,M,
Cột kẹo,giả dối,M,
Cống chỏ,tổ tiên,N,
Cống cống,oang oang,N,
Cộng,cộm,M,
Cộng,lồi,M,
Cờ,cờ,N,
Cờ đeng,cờ đỏ,N,
Cốp,ếch,M,
Cở,cớ,M,
Cơi mjầu,cơi trầu,N,
Cốp khuyết,ếch nhái,N,
cu,chim cu,N,
cu bjoóc,chim cu gáy,N,
cu fầy,chim ngói,N,
Cộp,bốn bó mạ,M,
Củ,"cất, cất dọn",CH,
Củ,thu hái,V,
Củ bắp,thu hái ngô,V,
Cộp,kép,M,
Slửa Cộp,áo kép,N,
Củ,cất tiếng,V,
Củ pác,cất tiếng,V,
Cốt,chim bìm bịp,N,
củ bôm,hóa vàng,N,
Củ mả,cải táng,M,
Cúa,của,E,
Cúa cái,của cải,E,
Cúa,con vật,N,
Cúa liệng,vật nuôi,M,
Cúa,đồ,N,
cụm,phù hộ,M,
Cụm cừa,phù hộ,M,
Cúa,của,E,
cùn,lõi,M,
cùn bắp,lõi ngô,N,
Cúa cai,của cải,E,
Cúa cai,đồ đạc,N,
cún,"đứt, cụt",CH,
Kha cún,cụt chân,N,
Hẳm cún,chặt đứt,V,
Cúa chin,đồ ăn,M,
Cún đút,cụt ngủn,M,
cụn,dạn,M,
củm,cộc,M,
Cáy củm,gà cộc đuôi,N,
cung,cũng,R,
cúm,đùi,M,
Páng cúm,bắp đùi,N,
cúm,mông,M,
Nựa cúm,thịt mông,N,
củng,con tôm,N,
Cuốc,cái cuốc,N,
Cuốc,cuốc,M,
Cuốc đin,cuốc đất,N,
cuốc sliểm,cuốc chim,N,
Cuôi,cái sọt,T,
Cò cuồi,lòng ngưỡng mộ,V,
Cuổi,chuối,M,
Cuổi slúc,chuối chín,N,
Co Cuổi,cây chuối,N,
Cuổi cáy,chuối ngự,N,
Cuổi chiêu,chuối tiêu,V,
Cuổi sliểu,chuối lá,N,
Cuôm,đội,N,
Cuôm chúp,đội nón,N,
Cuôm khân,đội khăn,N,
Cuôn,khúc,M,
Cuôn fừn,khúc củi,N,
Cuôn,độc,A,
Cần Cuôn,người độc thân,N,
Slưa Cuôn,hổ độc,N,
Chin Cuôn,ăn một mình,X,
Cuổn,quán xuyến,N,
Cuổn,cai quản,M,
Cuổn,quấn,V,
Cuổn mây,quấn chỉ,V,
Cuổn,vấn,M,
Cuổn ngang,vấn khăn ngang,V,
Cuổn,búi,M,
Cuổn chảu,búi tó,N,
Cuổn,cuộn,M,
Cuổn mây,cuộn chỉ,N,
Cuổn,xoắn xuýt,V,
Cuổn,cuốn,Nc,
Cuốn,liều,M,
Cuốn hết,làm liều,V,
Cuốn,nhồi,M,
Cuốn,thử,V,
Cuốn slam,thử hỏi,V,
Cuông,rỗng,M,
Cuông,thủng,A,
Cuông,trống rỗng,M,
cuông xống,rỗng không,N,
cuông xống,thủng toang,M,
cụp,bẫy,N,
cụp nu,bẫy chuột,N,
Hảng cụp,đánh bẫy,V,
cút,rau dớn,N,
cút,cây guột,N,
Cưa,muối,N,
cưa,cái cưa,T,
Cừa,bụi,N,
Cừa nam,bụi gai,N,place
cứa,"nọ, ấy",P,
Cừa rộc,bụi rậm,N,
Cựa,động đậy,N,
Cựa,hơi tí,N,
Cừn,đêm,N,time
Tằng Cừn,ban đêm,N,time
Cừn rì,đêm dài,N,time
Cừn,đau nhức,V,
cứng,ngắc,M,
Cươm,cây trám trắng,A,
Cượn,trợn,M,
Tha Cượn,mắt trợn,N,
cượn mjạp,trợn trừng,N,
cương,cái gương,N,
Cưởng,cái ô,N,
Cương,bộ khung,N,
Cương rườn,khung nhà,N,place
Cương,"dáng, khổ",CH,
da,thuốc,N,
Chin da,uống thuốc,V,
da non,thuốc sâu,N,
da,chữa bệnh,V,
da,giải,N,
Da tặm,thuốc độc,M,
da nam,thuốc nam,N,
Da thó,thuốc bắc,M,
Dà,che,V,
Dà đét,che nắng,V,
Dà,đậy,M,
Dà,đắp,V,
Dà,giữ,V,
Dà dẹng,đậy điệm,N,
Da,bà già,A,
Da mải,bà già góa,M,
Da,mẹ chồng,N,
Da din,mụ phù thủy,N,
Dả,chà,M,
Dái,"rồi, thôi",T,
Slon Dái,học rồi,C,
Dá,chớ,M,
Dác,đói,V,
Mốc Dác,bụng đói,V,
Thai Dác,chết đói,V,
Dác,khát,M,
Dác nặm,khát nước,V,
Dác,thèm,V,
Dác dên,đói rét,V,
Dạc,chướng mắt,V,
Dạc ngòi,khó coi,V,
dạc,nước nhỏ giọt,N,
dai,hơi,R,
dai,nguội,M,
Dài,cát,N,
Pò Dài,cồn cát,N,place
Dại,trái,M,
Mừ Dại,tay trái,M,
Dám,bước,V,
Dám kha,bước chân,V,
Dám,mũi chỉ,N,
Dàn,thưa,V,
Dan,ghềnh,M,
Dang,nhựa,N,
Dang,hương,N,
Dang hà,nói nước đôi,V,
Dang pinh,cao su,N,
Dáng,thanh gươm,N,
Tải Dáng,đeo gươm,V,
Dáng,bước,V,
Dào,rửa,V,
Dào phjắc,rửa rau,V,
Dào nả,rửa mặt,V,
Dào,"rửa, mài",CH,
Dào cưa,mài cưa,N,
Dào,"dài, thưa",CH,
Dào nả,rửa mặt,V,
Dào nả,làm sĩ diện,N,
Dao,"hồi, đợt, chuyến",N,
Dao nấy,đợt này,P,
Dao cón,chuyến trước,N,
Dao,lứa,N,
Dao,lần,N,
Dảo,vựa,N,
Dảo,gọi,V,
dau lo,lo,V,
Dau hí,lo lắng,V,
Dau xàu,u sầu,N,
Dàu,thẳng,A,
Dàu dít,thẳng tắp,M,
Dàu dít,thông thạo,M,
Dàu hết,cố ý làm,V,
Dáu dáu,thoăn thoắt,A,
Dáu dáu,nhong nhong,N,
Dảu,"nhấc, bắc",N,
Dảu,cất nhắc,V,
Dạu,vừa,R,
Dạu,lại,R,
Dày,"xấu, kém",A,
Dày,yếu,A,
Dắc,"châm, cấu nhẹ",CH,
Dắc,thông,M,
Dắc điểu,thông điếu,V,
Dắc,xỉa,M,
Dắc khẻo,xỉa răng,P,
Dắc,nhể,M,
Dắc dáu,tần tảo,M,
Dắc déng,kiễng chân,N,
Dắc dử,thập thò,N,
Dặc,giặt,V,
Dặc dụp,giặt giũ,V,
Dăm,chìm,V,
Dăm,ỉm đi,V,
Dăm,giấu,V,
Dăm,nặng,A,
Dăm doan,chưa khô,A,
Dăm dón,bớt xén,V,
Dằm,ướp,V,
Dằm nựa,ướp thịt,V,
Dắm,người trùng tên,N,
Ké Dắm,ông trùng tên,V,
Dạm dẹ,bồi,M,
Dặn,nghiện,V,
Dặn lẩu,nghiện rượu,V,
Dặn,thỏa mãn,N,
Dăng,"thưa, trả lời",V,
Dăng,bằng lòng,E,
Dằng,ngắm,V,
Dằng nả,ngắm ná,V,
Dằng,"nghĩ, cân nhắc",V,
Dặng,đứng,V,
Tứn Dặng,đứng dậy,V,
Dặng,dừng,V,
Dặng dộc,đứng sừng sững,V,
Dặng dồng,sững sờ,N,
Dắp,"lúc, chốc lát",CH,time
Dắp,chập,M,
Dáp,lắp,V,
Phuối Dáp,nói lắp,V,
Dáp dương,ngại ngùng,V,
Dảng,sáp ong,N,
dầu dầu,dầu,N,
Dẫu,con dấu,M,
Dấu,ẩm,M,
Dấu doạt,ẩm ướt,N,
Dấu dụp,ướt sũng,M,
Dậu,lại,R,
Dầư,tơ,M,
Dầu dầu,lôi thôi,T,
Dầư doang,lòng thòng,N,
Dâư,"rớt, chảy",V,
Dè,đi nào,P,
Chin Dè,ăn đi nào,V,
Dè,thế,P,
Dé,bác,Nc,
Po Dé,ông bác,Nc,
Déc,xé,V,
Dèn,"đưa, chìa",CH,
dén,thuốc phiện,M,
Dẻng,phơi,V,
Dẻng đét,phơi nắng,V,
Dẻng lồm,phơi gió,V,
Deng deng,lẽo đẽo,N,
Déng,manh,M,
Dèo deng,dong dỏng,N,
Dế dế,ê ê,N,
Dễ,ấy,P,
Dế nỏ,ấy đấy,P,
Dên,nguội,M,
Khẩu Dên,cơm nguội,N,
Dên,lạnh,A,
Mau Dên,mùa lạnh,N,time
Dên,rét,A,
Slửa Dên,áo rét,N,
Dền,gân,M,
Dền mừ,gân tay,V,
Dết,nhỏ giọt,N,
Nặm Dết,nước nhỏ giọt,N,
Dết,rơi,V,
Dết dăng,giàn giụa,N,
Dết dỏi,lã chã,N,
dết,chảy,V,
Nài dết,chảy dãi,V,
Dị,vừa,R,
Dí,chà,M,
Dí,ấy,P,
dỉ,"ồ, đâu phải",CH,
Dí nỏ,chà chà,M,
Dích doóc,cù,M,
Diếc,tước,M,
Diếc toong,tước lá,N,
Diêm,giữ gìn,M,
Diêm,kiêng,M,
Chin Diêm,ăn kiêng,V,
Diềm,chê,M,
Diền,"liền, ngay",T,
diến váng,chẳng lẽ,R,
Diểng,chim yếng,N,
Diết,duỗi,M,
Diết,ngả,P,
Diết lăng,ngả lưng,P,
Diết,lè,M,
Diết lịn,lè lưỡi,N,
Diết,nghển,M,
Diết cò,nghển cổ,N,
Diết chai,nằm nghỉ,V,
Diết chạn,vươn vai,V,
Diếu,"yếu, cần thiết",A,
Cẩn Diếu,cần thiết,A,
Diếu hết,cố tình làm,V,
Dim,"vay, mượn",V,
din,phù thủy,M,
Da din,bà phù thủy,V,
Dìn,kia,P,
Vằn Dìn,hôm kia,P,time
Căm Dìn,đêm hôm kia,N,time
Dò,chà,M,
Dó,một gánh nhẹ,A,
Háp Dó,gánh nhẹ,N,
Dó dó,cần mẫn,M,
Dó dó,chăm chỉ,V,
Dó dó,thoăn thoắt,A,
dỏ,chà,M,
Dọ,đẩy,V,
Doai,một xúc,N,
doài,rũ rượi,N,
Dặng doài,đứng rũ rượi,V,
Doài doài,thất thểu,A,
Doại,đưa,V,
Doại,cho,E,
doan,giật mình,V,
Doan mao,kinh hãi,N,
Doát,nhảy,V,
Doi,"khều, nhể",CH,
Doi nam,khều gai,N,
Doi,chích,M,
Doi,xúc,M,
dòi,dầm,M,
dòi phôn,dầm mưa,N,
Dòi doọc,lặn lội,M,
Dòi doọc,quần quật,A,
Dọi,nhỏ giọt,N,
Dom,"dành, để dành",V,
Dom dó,dành dụm,V,
Dom,"ngó, nhòm",CH,
Dỏm,dặm,M,
Dỏm nà,cấy dặm ruộng,V,
Dòn,sướng,A,
Dỏn,nẩy,M,
Dỏn,giật mình,V,
Dón,vãi,M,
Dón,bớt lại,V,
Dón,dè,M,
Chin Dón,ăn dè,V,
Doong dó,chăm sóc,V,
Doòng,cái lồng,N,
Doòng cáy,lồng gà,N,
Doòng,cái rọ,T,
Doòng mu,rọ lợn,N,
Doóng,nhún nhảy,V,
Doóng doát,nhảy nhót,V,
Doóng khó,ngồi xổm,V,
Dọp,sút kém,V,
Dọp,chột,M,
Dót,"vãi, nhỏ ra",CH,
Dốc,"chòi, chọc",CH,
Dộc,cái rọ,T,
Dộc dạc,lộc ngộc,N,
Dộc dộc,xồng xộc,N,
dồng,chết khô,V,
